date,day,time,teacher,location,payment_method,class_type,status,web,ref_number
2023-09-06,Wednesday,4:00 PM,Sally Garrido-Spencer,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Absent,Yes,777130
2023-09-04,Monday,12:00 PM,Jenna Darfler,SE Hawthorne,TPY Membership,In Studio: All Level Hatha Flow,Signed in,Yes,777130
2023-08-30,Wednesday,12:00 PM,Jenna Darfler,SE Hawthorne,TPY Membership,In Studio: All Level Hatha Flow,Signed in,Yes,777130
2023-08-29,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,TPY Membership,In Studio: Vinyasa/Restorative,Signed in,Yes,777130
2023-08-28,Monday,12:00 PM,Jenna Darfler,SE Hawthorne,TPY Membership,In Studio: All Level Hatha Flow,Signed in,Yes,777130
2023-08-24,Thursday,4:00 PM,Kris Olson,SE Hawthorne,TPY Membership,In Studio: Vinyasa/Restorative,Signed in,Yes,777130
2023-08-23,Wednesday,12:00 PM,Jenna Darfler,SE Hawthorne,TPY Membership,In Studio: All Level Hatha Flow,Signed in,Yes,777130
2023-08-22,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,TPY Membership,In Studio: Vinyasa/Restorative,Signed in,Yes,777130
2023-08-17,Thursday,5:45 PM,Kris Olson,SE Hawthorne,TPY Membership,In Studio: Vinyasa Flow,Signed in,Yes,777130
2023-08-17,Thursday,4:00 PM,Kris Olson,SE Hawthorne,TPY Membership,In Studio: Vinyasa/Restorative,Signed in,Yes,777130
2023-08-16,Wednesday,12:00 PM,Suniti Dernovsek,NE Killingsworth,TPY Membership,In Studio: All Level Hatha Flow,Signed in,Yes,777130
2023-08-14,Monday,12:00 PM,Jenna Darfler,SE Hawthorne,10 Class Card - Senior/Student/Vet,In Studio: All Level Hatha Flow,Signed in,Yes,773605
2023-08-10,Thursday,12:00 PM,Abby Kraai,SE Hawthorne,10 Class Card - Senior/Student/Vet,In Studio: Vinyasa Flow,Signed in,Yes,773605
2023-08-09,Wednesday,12:00 PM,Jenna Darfler,SE Hawthorne,10 Class Card - Senior/Student/Vet,In Studio: All Level Hatha Flow,Signed in,Yes,773605
2023-08-08,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,10 Class Card - Senior/Student/Vet,In Studio: Vinyasa/Restorative,Signed in,Yes,773605
2023-07-27,Thursday,4:00 PM,Kris Olson,SE Hawthorne,10 Class Card - Senior/Student/Vet,In Studio: Vinyasa/Restorative,Signed in,Yes,773605
2023-07-25,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,10 Class Card - Senior/Student/Vet,In Studio: Vinyasa/Restorative,Signed in,Yes,773605
2023-07-24,Monday,12:00 PM,Jenna Darfler,SE Hawthorne,10 Class Card - Senior/Student/Vet,In Studio: All Level Hatha Flow,Signed in,Yes,773605
2023-07-19,Wednesday,4:00 PM,Sally Garrido-Spencer,SE Hawthorne,10 Class Card - Senior/Student/Vet,In Studio: Vinyasa Flow,Signed in,Yes,773605
2023-07-12,Wednesday,12:00 PM,Jenna Darfler,SE Hawthorne,10 Class Card - Senior/Student/Vet,In Studio: All Level Hatha Flow,Signed in,Yes,773605
2023-07-11,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,July Member Promo - Bring A Friend,In Studio: Vinyasa/Restorative,Signed in,No,774196
2023-07-03,Monday,12:00 PM,Suniti Dernovsek,NE Killingsworth,10 Class Card - Senior/Student/Vet,In Studio: All Level Hatha Flow,Signed in,Yes,773605
2023-06-27,Tuesday,12:00 PM,Abby Kraai,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa Flow,Signed in,Yes,771308
2023-06-26,Monday,12:00 PM,Suniti Dernovsek,NE Killingsworth,Scholarship $35.00,In Studio: All Level Hatha Flow,Signed in,Yes,771308
2023-06-22,Thursday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa/Restorative,Signed in,Yes,771308
2023-06-20,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa/Restorative,Signed in,Yes,771308
2023-06-13,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa/Restorative,Signed in,Yes,771308
2023-06-12,Monday,7:30 AM,Donica Burdette,SE Hawthorne,Scholarship $35.00,In Studio: Morning Flow,Signed in,Yes,771308
2023-06-09,Friday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa Flow,Signed in,Yes,771308
2023-06-08,Thursday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa/Restorative,Signed in,Yes,771308
2023-06-06,Tuesday,12:00 PM,Abby Kraai,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa Flow,Signed in,Yes,771308
2023-06-05,Monday,7:30 AM,Haleli Moalem,SE Hawthorne,Scholarship $35.00,In Studio: Morning Flow,Signed in,Yes,771308
2023-06-03,Saturday,10:45 AM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: All Level Hatha Flow,Signed in,Yes,771308
2023-05-30,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa/Restorative,Signed in,Yes,768715
2023-05-29,Monday,7:30 AM,Haleli Moalem,SE Hawthorne,Scholarship $35.00,In Studio: Morning Flow,Signed in,Yes,768715
2023-05-25,Thursday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa/Restorative,Signed in,Yes,768715
2023-05-23,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa/Restorative,Signed in,Yes,768715
2023-05-21,Sunday,11:00 AM,Suniti Dernovsek,NE Killingsworth,Free Class,Teacher Training Info Session,Signed in,Yes,769074
2023-05-20,Saturday,10:45 AM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: All Level Hatha Flow,Signed in,Yes,768715
2023-05-16,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa/Restorative,Signed in,Yes,768715
2023-05-15,Monday,7:30 AM,Alexa Rittichier,SE Hawthorne,Scholarship $35.00,In Studio: Morning Flow,Signed in,Yes,768715
2023-05-12,Friday,7:30 AM,Sally Garrido-Spencer,SE Hawthorne,Scholarship $35.00,In Studio: Morning Flow,Signed in,Yes,768715
2023-05-10,Wednesday,9:30 AM,Donica Burdette,NE Killingsworth,Scholarship $35.00,In Studio: Vinyasa Flow,Signed in,Yes,768715
2023-05-09,Tuesday,4:00 PM,Kris Olson,SE Hawthorne,Scholarship $35.00,In Studio: Vinyasa/Restorative,Signed in,Yes,768715
